pincode,state_name,city,State CODE
110841,DELHI,DELHI EAST,DL
110848,DELHI,DELHI EAST,DL
110851,DELHI,DELHI EAST,DL
110853,DELHI,DELHI EAST,DL
110855,DELHI,DELHI EAST,DL
110857,DELHI,DELHI EAST,DL
110864,DELHI,DELHI EAST,DL
110865,DELHI,DELHI EAST,DL
110867,DELHI,DELHI EAST,DL
110886,DELHI,DELHI EAST,DL
110911,DELHI,DELHI EAST,DL
110959,DELHI,DELHI EAST,DL
110963,DELHI,DELHI EAST,DL
110985,DELHI,DELHI EAST,DL
111045,Delhi,Delhi,DL
111111,Delhi,Delhi,DL
111222,DELHI,NEW DELHI GPO,DL
111687,DELHI,NEW DELHI CENTRAL,DL
112001,DELHI,DELHI EAST,DL
116313,HARYANA,FARIDABAD,HR
119600,DELHI,DELHI EAST,DL
120000,HARYANA,FARIDABAD,HR
120001,HARYANA,FARIDABAD,HR
120002,HARYANA,FARIDABAD,HR
120003,HARYANA,FARIDABAD,HR
120004,HARYANA,FARIDABAD,HR
120008,HARYANA,FARIDABAD,HR
120010,HARYANA,FARIDABAD,HR
120012,HARYANA,FARIDABAD,HR
120014,HARYANA,FARIDABAD,HR
120015,HARYANA,FARIDABAD,HR
120016,HARYANA,FARIDABAD,HR
120017,HARYANA,FARIDABAD,HR
120018,HARYANA,FARIDABAD,HR
120021,HARYANA,FARIDABAD,HR
120022,HARYANA,FARIDABAD,HR
120023,HARYANA,FARIDABAD,HR
120024,HARYANA,FARIDABAD,HR
120029,HARYANA,FARIDABAD,HR
120031,HARYANA,FARIDABAD,HR
120041,HARYANA,FARIDABAD,HR
120050,HARYANA,FARIDABAD,HR
120064,HARYANA,FARIDABAD,HR
120081,HARYANA,FARIDABAD,HR
120099,HARYANA,FARIDABAD,HR
120101,HARYANA,FARIDABAD,HR
120102,HARYANA,FARIDABAD,HR
120104,HARYANA,FARIDABAD,HR
120109,HARYANA,FARIDABAD,HR
120123,HARYANA,FARIDABAD,HR
120125,HARYANA,FARIDABAD,HR
120210,HARYANA,FARIDABAD,HR
120211,HARYANA,FARIDABAD,HR
120407,HARYANA,FARIDABAD,HR
120520,HARYANA,FARIDABAD,HR
120579,HARYANA,FARIDABAD,HR
120940,HARYANA,FARIDABAD,HR
121000,HARYANA,FARIDABAD,HR
121001,HARYANA,FARIDABAD,HR
121002,HARYANA,FARIDABAD,HR
121003,HARYANA,FARIDABAD,HR
121004,HARYANA,FARIDABAD,HR
121005,HARYANA,FARIDABAD,HR
121006,HARYANA,FARIDABAD,HR
121007,HARYANA,FARIDABAD,HR
121008,HARYANA,FARIDABAD,HR
121009,HARYANA,FARIDABAD,HR
121010,HARYANA,FARIDABAD,HR
121011,HARYANA,FARIDABAD,HR
121012,HARYANA,FARIDABAD,HR
